circRNA	Position	Function	Gene	Gene Description	PMID
hsa_circ_0011201	chr1:29637967-29639218	Breast cancer [breast cancer patients vs. healthy controls]	PTPRU	protein tyrosine phosphatase, receptor type U	29045858
hsa_circ_0011222	chr1:31414844-31423108	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	PUM1	pumilio RNA binding family member 1	29137225
hsa_circ_0011232	chr1:31422973-31501711	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	PUM1	pumilio RNA binding family member 1	28682884
hsa_circ_0011279	chr1:31896539-31899670	Cutaneous squamous cell carcinoma [differential expression]	SERINC2	serine incorporator 2	27298156
hsa_circ_0011316	chr1:32194198-32207818	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ADGRB2	adhesion G protein-coupled receptor B2	28831102
hsa_circ_0011385	chr1:32691771-32692131	Bladder cancer [differential expression (bladder cancer vs normal tissues)]; pancreatic ductal adenocarcinoma [differential expression (pancreatic ductal adenocarcinoma vs. matched adjacent normal samples)]; esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; colorectal cancer [differential expression (colorectal cancer tissues between positive and negative lymph node metastasis groups)]	EIF3I	eukaryotic translation initiation factor 3 subunit I	27484176;27997903;27465405;28349836
hsa_circ_0011536	chr1:35824525-35827390	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]; gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	ZMYM4	zinc finger MYM-type containing 4	28682884;27986464
hsa_circ_0011588	chr1:36211051-36212593	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	CLSPN	claspin	29137225
hsa_circ_0011946	chr1:41578954-41618413	Downregulation of hsa_circ_0011946 suppresses the migration and invasion of the breast cancer cell line MCF-7 by targeting RFC3.	SCMH1	Scm polycomb group protein homolog 1	29593432
hsa_circ_0011977	chr1:43142254-43142429	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	PPIH	peptidylprolyl isomerase H	29137225
hsa_circ_0012077	chr1:44054401-44054671	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	PTPRF	protein tyrosine phosphatase, receptor type F	29137225
hsa_circ_0012092	chr1:44086124-44086903	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	PTPRF	protein tyrosine phosphatase, receptor type F	28682884
hsa_circ_0012144	chr1:44773981-44785416	Cutaneous squamous cell carcinoma [differential expression]	ERI3	ERI1 exoribonuclease family member 3	27298156
hsa_circ_0012185	chr1:45340349-45341367	Bladder cancer [differential expression (bladder cancer vs normal tissues)]	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	27484176
hsa_circ_0012232	chr1:46032240-46034356	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	AKR1A1	aldo-keto reductase family 1 member A1	28682884
hsa_circ_0012283	chr1:46383010-46425149	Cutaneous squamous cell carcinoma [differential expression]	MAST2	microtubule associated serine/threonine kinase 2	27298156
hsa_circ_0012350	chr1:47037734-47037839	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	MKNK1	MAP kinase interacting serine/threonine kinase 1	28774651
hsa_circ_0012396	chr1:51001040-51050483	Cervical cancer [differential expression (cervical squamous cell carcinoma and matched adjacent non-tumor tissues)]	FAF1	Fas associated factor 1	28970820
hsa_circ_0012397	chr1:51001040-51061888	Cervical cancer [differential expression (cervical squamous cell carcinoma and matched adjacent non-tumor tissues)]	FAF1	Fas associated factor 1	28970820
hsa_circ_0012403	chr1:51049323-51204626	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	FAF1	Fas associated factor 1	28831102
hsa_circ_0012442	chr1:51875206-51913807	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	EPS15	epidermal growth factor receptor pathway substrate 15	28682884
hsa_circ_0012547	chr1:52954580-52954707	Breast cancer [breast cancer patients vs. healthy controls]	ZCCHC11	zinc finger CCHC-type containing 11	29045858
hsa_circ_0012634	chr1:54506428-54509198	Bladder cancer [differential expression (bladder cancer vs normal tissues)]; colorectal cancer [differential expression (chemoradiation-resistant colorectal cancer cells)]	TMEM59	transmembrane protein 59	27484176;28656150
hsa_circ_0012671	chr1:55330975-55341720	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DHCR24	24-dehydrocholesterol reductase	28831102
hsa_circ_0012673	chr1:55340765-55341720	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; lung adenocarcinoma [differential expression (patients with lung adenocarcinoma vs. adjacent normal controls)]; gastric cancer [differential expression (gastric cancer tissues vs. non-gastric cancer tissues)]	DHCR24	24-dehydrocholesterol reductase	27097056;28685964;28831102
hsa_circ_0012722	chr1:58996272-58996401	Lung adenocarcinoma [differential expression (patients with lung adenocarcinoma vs. adjacent normal controls)]	OMA1	OMA1 zinc metallopeptidase	28685964
hsa_circ_0012756	chr1:61743191-61872399	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	NFIA	nuclear factor I A	28682884
hsa_circ_0012844	chr1:65016276-65068595	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]; facet joint osteoarthritis [differential expression (healthy control group vs. facet joint osteoarthritis group)]	CACHD1	cache domain containing 1	28831102;29470979
hsa_circ_0012845	chr1:65095037-65099943	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CACHD1	cache domain containing 1	28831102
hsa_circ_0012848	chr1:65129377-65130362	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CACHD1	cache domain containing 1	28831102
hsa_circ_0012876	chr1:65334993-65352024	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	JAK1	Janus kinase 1	28682884
hsa_circ_0012935	chr1:70694104-70715730	Facet joint osteoarthritis [differential expression (healthy control group vs. facet joint osteoarthritis group)]	SRSF11	serine and arginine rich splicing factor 11	29470979
hsa_circ_0013181	chr1:93300335-93303190	Cutaneous squamous cell carcinoma [differential expression]	RPL5	ribosomal protein L5	27298156
hsa_circ_0013222	chr1:94360169-94363454	Cutaneous squamous cell carcinoma [differential expression]	GCLM	glutamate-cysteine ligase modifier subunit	27298156
hsa_circ_0013255	chr1:97543299-97915779	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	DPYD	dihydropyrimidine dehydrogenase	28774651
hsa_circ_0013323	chr1:100843101-100856380	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CDC14A	cell division cycle 14A	28831102
hsa_circ_0013325	chr1:100905487-100908552	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CDC14A	cell division cycle 14A	28831102
hsa_circ_0013327	chr1:100905487-100963763	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	CDC14A	cell division cycle 14A	28682884
hsa_circ_0013330	chr1:100960373-100964818	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	CDC14A	cell division cycle 14A	28682884
hsa_circ_0013509	chr1:111984646-111986543	hsa_circ_0013509 regulates VSMCs proliferation and migration via targeting miR-124/FGF2	WDR77	WD repeat domain 77	29042195
hsa_circ_0013587	chr1:113661854-113662145	Cutaneous squamous cell carcinoma [differential expression]; pancreatic ductal adenocarcinoma [differential expression (pancreatic ductal adenocarcinoma vs. matched adjacent normal samples)]	LRIG2	leucine rich repeats and immunoglobulin like domains 2	27298156;27997903
hsa_circ_0013591	chr1:114128008-114157280	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	28831102
hsa_circ_0013912	chr1:145601529-145601852	Hypertension [differential expression (hypertension patients vs. healthy controls)]	POLR3C	RNA polymerase III subunit C	28534714
hsa_circ_0013958	chr1:147131074-147131890	miR-134 sponge; hsa_circ_0013958 could be used as a potential non-invasive biomarker for the early detection and screening of lung adenocarcinoma.	ACP6	acid phosphatase 6, lysophosphatidic	28685964
hsa_circ_0014130	chr1:151206672-151212515	hsa_circ_0014130 could be used as a potential non-small cell lung cancer biomarker and might be closely related to the carcinogenesis of non-small cell lung cancer; ovarian aging [differential expression (human granulosa cells during maternal aging)]	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	28644873;29440731
hsa_circ_0014202	chr1:151955385-151958727	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	S100A10	S100 calcium binding protein A10	28831102
hsa_circ_0014302	chr1:153732786-153732866	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	INTS3	integrator complex subunit 3	28682884
hsa_circ_0014319	chr1:153901976-153902918	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	DENND4B	DENN domain containing 4B	28682884
hsa_circ_0014342	chr1:153915353-153915606	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	DENND4B	DENN domain containing 4B	28682884
hsa_circ_0014586	chr1:155385534-155429689	Cervical cancer [differential expression (cervical squamous cell carcinoma and matched adjacent non-tumor tissues)]	ASH1L	ASH1 like histone lysine methyltransferase	28970820
hsa_circ_0014614	chr1:155695172-155695810	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DAP3	death associated protein 3	28831102
hsa_circ_0014617	chr1:155695172-155706854	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DAP3	death associated protein 3	28831102
hsa_circ_0014717	chr1:156290629-156304709	hsa_circ_0014717 is downregulated in colorectal cancer and inhibits tumor growth by promoting p16 expression.	CCT3	chaperonin containing TCP1 subunit 3	29571246
hsa_circ_0014798	chr1:156848913-156849949	Cutaneous squamous cell carcinoma [differential expression]	NTRK1	neurotrophic receptor tyrosine kinase 1	27298156
hsa_circ_0015015	chr1:161748033-161748110	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ATF6	activating transcription factor 6	28831102
hsa_circ_0015278	chr1:173726114-173744981	hsa_circ_0015278 regulates miR-1228/TCF21 pathway to inhibit lung cancer progression; repeated implantation failure [differential expression (patients repeated implantation failure vs. control group)]	KLHL20	kelch like family member 20	29132137;30176158
hsa_circ_0015326	chr1:174188262-174200493	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	RABGAP1L	RAB GTPase activating protein 1 like	28774651
hsa_circ_0015438	chr1:179306971-179310445	Cutaneous squamous cell carcinoma [differential expression]	SOAT1	sterol O-acyltransferase 1	27298156
hsa_circ_0015447	chr1:179310162-179318077	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	SOAT1	sterol O-acyltransferase 1	28682884
hsa_circ_0015449	chr1:179311248-179312770	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; cutaneous squamous cell carcinoma [differential expression]	SOAT1	sterol O-acyltransferase 1	27097056;27298156
hsa_circ_0015472	chr1:179961196-180031501	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CEP350	centrosomal protein 350	28831102
hsa_circ_0015540	chr1:181724372-181727247	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	CACNA1E	calcium voltage-gated channel subunit alpha1 E	28639908
hsa_circ_0015581	chr1:183072462-183087281	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	LAMC1	laminin subunit gamma 1	28831102
hsa_circ_0015652	chr1:184679527-184679681	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3	28831102
hsa_circ_0015658	chr1:184774757-184777369	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	FAM129A	family with sequence similarity 129 member A	28831102
hsa_circ_0015694	chr1:186059889-186086247	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	HMCN1	hemicentin 1	28831102
hsa_circ_0015725	chr1:186359842-186367573	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	C1orf27	chromosome 1 open reading frame 27	28831102
hsa_circ_0015730	chr1:186862142-186909226	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	PLA2G4A	phospholipase A2 group IVA	28831102
hsa_circ_0015756	chr1:196706604-196712758	hsa_circ_0015756 silencing decreased hepatoblastoma cell viability, proliferation, and invasion in vitro. hsa_circ_0015756 acted as miR-1250-3p sponge to regulate hepatoblastoma cell function.	CFH	complement factor H	29414822
hsa_circ_0015758	chr1:196711004-196715129	hsa_circ_0015758 promotes glioma progression by sponging miR-149 and regulating the AKT1 signaling pathway. The hsa_circ_0015758/miR-149/AKT1 regulation axis may be a potential target for glioma therapy.	CFH	complement factor H	30111766
hsa_circ_0015837	chr1:200729966-200730226	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CAMSAP2	calmodulin regulated spectrin associated protein family member 2	28831102
hsa_circ_0015906	chr1:201778291-201778389	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	NAV1	neuron navigator 1	28682884
hsa_circ_0015948	chr1:201841955-201844356	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	IPO9	importin 9	28831102
hsa_circ_0016070	chr1:203595914-203702528	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	28682884
hsa_circ_0016113	chr1:203802918-203809502	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ZC3H11A	zinc finger CCCH-type containing 11A	28831102
hsa_circ_0016261	chr1:206902054-206902194	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	28682884
hsa_circ_0016285	chr1:207236691-207238505	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	28682884
hsa_circ_0016291	chr1:207495726-207500182	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CD55	CD55 molecule (Cromer blood group)	28831102
hsa_circ_0016292	chr1:207497903-207500182	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CD55	CD55 molecule (Cromer blood group)	28831102
hsa_circ_0016294	chr1:207500096-207500182	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	CD55	CD55 molecule (Cromer blood group)	28831102
hsa_circ_0016347	chr1:211092981-211192598	miR-214 sponge; proliferation, invasion and metastasis of osteosarcoma cells.	KCNH1	potassium voltage-gated channel subfamily H member 1	28424426
hsa_circ_0016404	chr1:212977661-212977993	Pancreatic ductal adenocarcinoma [differential expression (pancreatic ductal adenocarcinoma vs. matched adjacent normal samples)]	TATDN3	TatD DNase domain containing 3	27997903
hsa_circ_0016418	chr1:213134507-213147412	Cutaneous squamous cell carcinoma [differential expression]	VASH2	vasohibin 2	27298156
hsa_circ_0016514	chr1:220379248-220384344	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	RAB3GAP2	RAB3 GTPase activating non-catalytic protein subunit 2	28774651
hsa_circ_0016674	chr1:226037612-226043641	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	TMEM63A	transmembrane protein 63A	28682884
hsa_circ_0016675	chr1:226037612-226047049	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	TMEM63A	transmembrane protein 63A	28682884
hsa_circ_0016677	chr1:226040364-226050278	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	TMEM63A	transmembrane protein 63A	28682884
hsa_circ_0016760	chr1:227935392-227947186	Upregulated hsa_circ_0016760 indicates unfavorable prognosis in non-small cell lung cancer and promotes cell progression through miR-1287/GAGE1 axis.	SNAP47	synaptosome associated protein 47	30103946
hsa_circ_0016788	chr1:228581376-228594517	hsa_circ_0016788 regulates hepatocellular carcinoma tumorigenesis through miR-486/CDK4 pathway.	TRIM11	tripartite motif containing 11	29923236
hsa_circ_0016867	chr1:230798886-230807386	Cutaneous squamous cell carcinoma [differential expression]; preeclampsia [differential expression (placental tissue for patients with preeclampsia vs. controls)]	COG2	component of oligomeric golgi complex 2	27298156;27606420
hsa_circ_0016913	chr1:232574853-232596907	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	SIPA1L2	signal induced proliferation associated 1 like 2	28639908
hsa_circ_0016952	chr1:233248544-233297109	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	PCNX2	pecanex homolog 2	28831102
hsa_circ_0017059	chr1:235600636-235602237	Cervical cancer [differential expression (cervical squamous cell carcinoma and matched adjacent non-tumor tissues)]	TBCE	tubulin folding cofactor E	28970820
hsa_circ_0017076	chr1:235747039-235758811	Rheumatoid arthritis [differential expression (rheumatoid arthritis patients vs. healthy controls)]	GNG4	G protein subunit gamma 4	28983619
hsa_circ_0017198	chr1:243219615-243233006	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	TCONS_l2_00002816	-	28682884
hsa_circ_0017202	chr1:243222779-243242354	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	LINC01347	long intergenic non-protein coding RNA 1347	29137225
hsa_circ_0017248	chr1:243736227-244006584	Ovarian Endometriosis [differential expression (the ectopic vs. eutopic endometria)]	AKT3	AKT serine/threonine kinase 3	29490568
hsa_circ_0017322	chr1:247020992-247061638	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	AHCTF1	AT-hook containing transcription factor 1	28682884
hsa_circ_0017370	chr10:355970-402446	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	DIP2C	disco interacting protein 2 homolog C	28682884
hsa_circ_0017373	chr10:355970-532470	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	DIP2C	disco interacting protein 2 homolog C	28682884
hsa_circ_0017445	chr10:1125950-1126046	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	WDR37	WD repeat domain 37	28831102
hsa_circ_0017469	chr10:1170157-1170964	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	WDR37	WD repeat domain 37	29137225
hsa_circ_0017524	chr10:4879650-4882018	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	AKR1E2	aldo-keto reductase family 1 member E2	28831102
hsa_circ_0017650	chr10:7657944-7697638	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5	28831102
hsa_circ_0017673	chr10:7840952-7844817	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	28831102
hsa_circ_0017731	chr10:12123470-12155063	Cervical cancer [differential expression (cervical squamous cell carcinoma and matched adjacent non-tumor tissues)]	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	28970820
hsa_circ_0017732	chr10:12129533-12133683	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	28831102
hsa_circ_0017737	chr10:12130984-12133683	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	28831102
hsa_circ_0017739	chr10:12133511-12133683	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	28831102
hsa_circ_0017927	chr10:20465927-20466338	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	PLXDC2	plexin domain containing 2	28639908
hsa_circ_0017962	chr10:22171210-22218070	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	28831102
hsa_circ_0017974	chr10:24783428-24802363	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	KIAA1217	KIAA1217	28831102
hsa_circ_0018004	chr10:27024168-27024508	Cutaneous squamous cell carcinoma [differential expression]; pancreatic ductal adenocarcinoma [differential expression (pancreatic ductal adenocarcinoma vs. matched adjacent normal samples)]; esophageal squamous cancer [differential expression (esophageal squamous cancer cell line KYSE-150R vs. KYSE-150)]; gastric cancer [differential expression (gastric cancer vs. adjacent tissues)]	PDSS1	decaprenyl diphosphate synthase subunit 1	27298156;27997903;27465405
hsa_circ_0018142	chr10:32860786-32873232	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	CCDC7	coiled-coil domain containing 7	28682884
hsa_circ_0018168	chr10:34558584-34573173	Severe acne [differential expression (lesional skin vs. adjacent non-lesional skin in severe acne)]	PARD3	par-3 family cell polarity regulator	29573483
hsa_circ_0018186	chr10:35320418-35322201	Radiation-induced liver fibrosis [differential expression (irradiated vs. normal hepatic stellate cell)]	CUL2	cullin 2	28774651
hsa_circ_0018281	chr10:46158989-46159290	Cervical cancer [differential expression (cervical squamous cell carcinoma and matched adjacent non-tumor tissues)]	ZFAND4	zinc finger AN1-type containing 4	28970820
hsa_circ_0018289	chr10:46968580-46969453	hsa_circ_0018289 is up-regulated in cervical cancer and promotes the tumorigenesis.	SYT15	synaptotagmin 15	29156822
hsa_circ_0018293	chr10:47164293-47166311	Basal cell carcinoma [differential expression (basal cell carcinoma vs. control)]; cutaneous squamous cell carcinoma [differential expression]; breast cancer [differential expression (cancer vs. adjacent noncancerous tissue)]; chemotherapeutic resistance in breast cancer [differential expression (MCF-7/Adriamycin vs. MCF-7 cells)]	ANXA8L1	annexin A8 like 1	27097056;27298156;28744405;28803498
hsa_circ_0018381	chr10:51754154-51770259	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	28831102
hsa_circ_0018400	chr10:52103251-52104105	Regulation of the function of SGMS1 gene in the brain	SGMS1	sphingomyelin synthase 1	26274505
hsa_circ_0018401	chr10:52193235-52350007	Regulation of the function of SGMS1 gene in the brain	SGMS1	sphingomyelin synthase 1	26274505
hsa_circ_0018402	chr10:52220432-52226692	Regulation of the function of SGMS1 gene in the brain	SGMS1	sphingomyelin synthase 1	26274505
hsa_circ_0018403	chr10:52220432-52350007	Regulation of the function of SGMS1 gene in the brain	SGMS1	sphingomyelin synthase 1	26274505
hsa_circ_0018405	chr10:52279590-52350007	Regulation of the function of SGMS1 gene in the brain	SGMS1	sphingomyelin synthase 1	26274505
hsa_circ_0018424	chr10:60558158-60558320	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	BICC1	BicC family RNA binding protein 1	28831102
hsa_circ_0018428	chr10:60558815-60580228	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	BICC1	BicC family RNA binding protein 1	28831102
hsa_circ_0018534	chr10:70252888-70253327	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	SLC25A16	solute carrier family 25 member 16	28831102
hsa_circ_0018649	chr10:71968960-71977687	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	PPA1	pyrophosphatase (inorganic) 1	28831102
hsa_circ_0018814	chr10:75214169-75239275	Cutaneous squamous cell carcinoma [differential expression]	PPP3CB	protein phosphatase 3 catalytic subunit beta	27298156
hsa_circ_0018905	chr10:76910271-76928416	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	SAMD8	sterile alpha motif domain containing 8	29137225
hsa_circ_0018909	chr10:76970891-76982160	Cutaneous squamous cell carcinoma [differential expression]; hypertension [differential expression (hypertension patients vs. healthy controls)]	VDAC2	voltage dependent anion channel 2	27298156;28534714
hsa_circ_0018998	chr10:86198267-86237420	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	CCSER2	coiled-coil serine rich protein 2	29137225
hsa_circ_0019172	chr10:94653105-94679807	Breast cancer [breast cancer patients vs. healthy controls]	EXOC6	exocyst complex component 6	29045858
hsa_circ_0019290	chr10:98287787-98290365	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	TM9SF3	transmembrane 9 superfamily member 3	28831102
hsa_circ_0019607	chr10:103552595-103570071	Cutaneous squamous cell carcinoma [differential expression]	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	27298156
hsa_circ_0019749	chr10:104243916-104245490	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	ACTR1A	ARP1 actin related protein 1 homolog A	28639908
hsa_circ_0019984	chr10:108458971-108466392	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	SORCS1	sortilin related VPS10 domain containing receptor 1	28639908
hsa_circ_0020068	chr10:116211382-116247775	Chronic thromboembolic pulmonary hypertension [differential expression (chronic thromboembolic pulmonary hypertension vs. control groups)]	ABLIM1	actin binding LIM protein 1	28682884
hsa_circ_0020080	chr10:116590610-116608496	Human thoracic aortic dissection [differential expression (human type A thoracic aortic dissection patients vs. age-matched normal donors)]	FAM160B1	family with sequence similarity 160 member B1	29137225
hsa_circ_0020102	chr10:117884731-118031787	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	GFRA1	GDNF family receptor alpha 1	28639908
hsa_circ_0020123	chr10:119042605-119049859	hsa_circ_0020123 exerts oncogenic properties through suppression of miR-144 in non-small cell lung cancer.	PDZD8	PDZ domain containing 8	30210911
hsa_circ_0020175	chr10:120933248-120934104	Breast cancer [breast cancer patients vs. healthy controls]	PRDX3	peroxiredoxin 3	29045858
hsa_circ_0020280	chr10:124344786-124385481	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	DMBT1	deleted in malignant brain tumors 1	28639908
hsa_circ_0020290	chr10:124612012-124648239	Gastric cancer [differential expression (gastric cancer tissues vs. paired nontumorous tissues)]	LOC399815	chromosome 10 open reading frame 88 pseudogene	28831102
hsa_circ_0020313	chr10:126185529-126186697	Cutaneous squamous cell carcinoma [differential expression]	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	27298156
hsa_circ_0020397	chr10:128768965-128926028	hsa_circ_0020397 regulates colorectal cancer cell viability, apoptosis, and invasion by promoting the expression of the miR-138 targets TERT and PD-L1.	DOCK1	dedicator of cytokinesis 1	28707774
hsa_circ_0020743	chr11:977094-992685	Gastric cancer [differential expression (gastric adenocarcinoma vs. adjacent normal mucosa tissues)]	AP2A2	adaptor related protein complex 2 alpha 2 subunit	28639908
