circRNA Name	Region	Strand	Gene Symbol	CircBase Link	Disease Name	Expression Pattern	Experimental Techniques	Species	Brief description	Year	PMID	
mmu_circRNA_013120	N/A	N/A	N/A	N/A	Ischemic brain after stroke	Upregulated	qPCR etc.	Mouse	"Most enriched pathways are associated with the Rap1 signaling pathway and the Hippo signaling pathway, which regulate cell survival and death."	2017/9/1	29156814	
mmu_circRNA_40806	N/A	N/A	N/A	N/A	Ischemic brain after stroke	Downregulated	qPCR etc.	Mouse	"Most enriched pathways are associated with the Rap1 signaling pathway and the Hippo signaling pathway, which regulate cell survival and death."	2017/9/1	29156814	
hsa_circ_101396	N/A	N/A	N/A	N/A	Leukoaraiosis	Upregulated	qPCR etc.	Human	"GO enrichment analysis of the upregulated DE genes indicated that DE genes were primarily associated with metabolic processes, organelles and the activity of certain transferases."	2017/9/1	28677780	
hsa_circ_102533 	N/A	N/A	N/A	N/A	Leukoaraiosis	Upregulated	qPCR etc.	Human	"GO enrichment analysis of the upregulated DE genes indicated that DE genes were primarily associated with metabolic processes, organelles and the activity of certain transferases."	2017/9/1	28677780	
hsa_circ_103783	N/A	N/A	N/A	N/A	Leukoaraiosis	Upregulated	qPCR etc.	Human	"GO enrichment analysis of the upregulated DE genes indicated that DE genes were primarily associated with metabolic processes, organelles and the activity of certain transferases."	2017/9/1	28677780	
hsa_circ_102470	N/A	N/A	N/A	N/A	Leukoaraiosis	Downregulated	qPCR etc.	Human	hsa_circ_102470 was identified to exhibit the largest difference in expression between the LA and control groups.	2017/9/1	28677780	
has-circRNA_0046367	N/A	N/A	N/A	N/A	Hepatic steatosis	Downregulated	"qPCR, Luciferase reporter assay, Western blot etc."	Human	"In contrast to its expression loss during the hepatocellular steatosis in vivo and in vitro, circRNA_0046367 normalization abolished miR-34a＊s inhibitory effect on peroxisome proliferator-activated receptor 汐 (PPAR汐) via blocking the miRNA/mRNA interaction with miRNA response elements (MREs).  Hepatotoxicity of steatosis-related lipid peroxidation, being characterized by mitochondrial dysfunction, growth arrest, and apoptosis, is resultantly prevented after the circRNA_0046367 administration. circRNA_0046367, therefore, is suggested to be potential approach to the therapy of lipid peroxidative damage."	2017/9/1	29018509	
rno_circRNA_006016	chr16:4168225-4228688	+	Erc2	N/A	Hypertension	Downregulated	"qPCR, Gel electrophoresis etc."	Rat	qRT-PCR result showed that rno_circRNA_006016 was highly downregulated (>30 FC) in hypertensive S rats compared with normotensive R rats and rno_circRNA_006016 is also located within BP QTL.	2017/9/1	28778982	
circRNA_100290/hsa_circ_0013339/hsa_circ_100290	chr1: 101372407每101379362	+	SLC30A7	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0013339	Oral squamous cell carcinomas	Upregulated	"qPCR, Western blot, RNAi, MTT assay, BrdU incorporation assay, Luciferase and EGFP/RFP reporter assay etc."	Human	"Knockdown of circRNA_100290 decreased expression of CDK6 and inhibited proliferation of OSCC cell lines in vitro and in vivo. Via luciferase reporter assays, circRNA_100290 was observed to directly bind to miR-29 family members. Further EGFP/RFP reporter assays showed that CDK6 was the direct target of miR-29b. "	2017/8/1	28368401	
hsa_circ_0076304	chr6:41704448-41710227	-	PGC	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0076304	Gastric cancer	Downregulated	qPCR etc.	Human	"hsa_circ_0076304, hsa_circ_0035431, and hsa_circ_0076305 had the highest magnitude of change"	2017/8/1	28831102	
hsa_circ_0035431	chr15:57730182-57734676	+	CGNL1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0035431	Gastric cancer	Downregulated	qPCR etc.	Human	"hsa_circ_0076304, hsa_circ_0035431, and hsa_circ_0076305 had the highest magnitude of change"	2017/8/1	28831102	
hsa_circ_0076305	chr6:41704448-41712252	-	PGC	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0076305	Gastric cancer	Downregulated	qPCR etc.	Human	"hsa_circ_0076304, hsa_circ_0035431, and hsa_circ_0076305 had the highest magnitude of change"	2017/8/1	28831102	
hsa_circRNA_063981	chr22	-	SBF1	N/A	Diabetic retinopathy	Upregulated	qPCR etc.	Human	"We found that the serum levels of these circRNAs were significantly elevated in T2DR relative to the T2DM or control groups, which agrees with the microarray results and demonstrates high reliability of this circRNA profile."	2017/8/1	28817829	
hsa_circRNA_ 404457	chr1	-	TCEA3	N/A	Diabetic retinopathy	Upregulated	qPCR etc.	Human	"We found that the serum levels of these circRNAs were significantly elevated in T2DR relative to the T2DM or control groups, which agrees with the microarray results and demonstrates high reliability of this circRNA profile."	2017/8/1	28817829	
hsa_circRNA_100750	chr11	+	STIM1	N/A	Diabetic retinopathy	Upregulated	qPCR etc.	Human	"We found that the serum levels of these circRNAs were significantly elevated in T2DR relative to the T2DM or control groups, which agrees with the microarray results and demonstrates high reliability of this circRNA profile."	2017/8/1	28817829	
hsa_circRNA_406918	chr7	-	IGF2BP3	N/A	Diabetic retinopathy	Upregulated	qPCR etc.	Human	"We found that the serum levels of these circRNAs were significantly elevated in T2DR relative to the T2DM or control groups, which agrees with the microarray results and demonstrates high reliability of this circRNA profile."	2017/8/1	28817829	
hsa_ circRNA_104387	chr7	+	WBSCR17	N/A	Diabetic retinopathy	Upregulated	qPCR etc.	Human	"We found that the serum levels of these circRNAs were significantly elevated in T2DR relative to the T2DM or control groups, which agrees with the microarray results and demonstrates high reliability of this circRNA profile."	2017/8/1	28817829	
hsa_circRNA_103410	chr3	-	LRIG1	N/A	Diabetic retinopathy	Upregulated	qPCR etc.	Human	"We found that the serum levels of these circRNAs were significantly elevated in T2DR relative to the T2DM or control groups, which agrees with the microarray results and demonstrates high reliability of this circRNA profile."	2017/8/1	28817829	
hsa_circRNA_ 100192	chr1	+	ST3GAL3	N/A	Diabetic retinopathy	Upregulated	qPCR etc.	Human	"We found that the serum levels of these circRNAs were significantly elevated in T2DR relative to the T2DM or control groups, which agrees with the microarray results and demonstrates high reliability of this circRNA profile."	2017/8/1	28817829	
circDENND4C	N/A	N/A	DENND4C	N/A	Breast cancer	Upregulated	"qPCR, Western blot, CCK8 assay etc."	Human	"In breast cancer cells, circDENND4C was increased under hypoxic conditions and decreased after knocking-down HIF1汐. In addition, knocking-down circDENND4C inhibited proliferation of breast cancer cells in a hypoxic environment."	2017/8/1	28739726	
hsa_circRNA_003251	N/A	N/A	N/A	N/A	T2DM with depression	Upregulated	qPCR etc.	Human	"KEGG pathway analysis predicted that upregulation of hsa-circRNA_003251, hsa-circRNA_015115, hsa-circRNA_100918, and hsa_circRNA_001520 may participate in the thyroid hormone, Wnt, ErbB, and mitogen-activated protein kinase signalling pathways."	2017/8/1	28779132	
hsa_circRNA_015115	N/A	N/A	N/A	N/A	T2DM with depression	Upregulated	qPCR etc.	Human	"KEGG pathway analysis predicted that upregulation of hsa-circRNA_003251, hsa-circRNA_015115, hsa-circRNA_100918, and hsa_circRNA_001520 may participate in the thyroid hormone, Wnt, ErbB, and mitogen-activated protein kinase signalling pathways."	2017/8/1	28779132	
hsa_circRNA_100918	N/A	N/A	N/A	N/A	T2DM with depression	Upregulated	qPCR etc.	Human	"KEGG pathway analysis predicted that upregulation of hsa-circRNA_003251, hsa-circRNA_015115, hsa-circRNA_100918, and hsa_circRNA_001520 may participate in the thyroid hormone, Wnt, ErbB, and mitogen-activated protein kinase signalling pathways."	2017/8/1	28779132	
hsa_circRNA_005019 	N/A	N/A	N/A	N/A	T2DM with depression	Downregulated	qPCR etc.	Human	"KEGG pathway analysis predicted that upregulation of hsa-circRNA_003251, hsa-circRNA_015115, hsa-circRNA_100918, and hsa_circRNA_001520 may participate in the thyroid hormone, Wnt, ErbB, and mitogen-activated protein kinase signalling pathways."	2017/8/1	28779132	
circR-284	N/A	N/A	N/A	N/A	Carotid disease and ischemic stroke	Upregulated	"qPCR, Droplet digital PCR etc."	Human	May act as an inhibitor of miR-221/miR-222. Serum circR-284:miR-221 has potential as a diagnostic biomarker of carotid plaque rupture and stroke.	2017/8/1	28779016	
hsa_circ_0005986	chr1:14057494-14068652	+	PRDM2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005986	Hepatocellular carcinoma	Downregulated	"qRT-PCR, Dual luciferase reporter assay etc."	Human	"hsa_circ_0005986 levels in HCC cell lines, HepG2, SMMC7721, Huh7, MHCC97L, MHCC97H, and HCCLM3 were significantly lower than those in human normal hepatic cell line L02 (P < 0.001). In addition, the low expression level of hsa_circ_0005986 was correlated with chronic hepatitis B family history (P = 0.001), tumor diameters (P < 0.001), microvascular invasion (P = 0.026), and Barcelona Clinic Liver Cancer (BCLC) stage (P < 0.001). Further experiments demonstrated that both hsa_circ_0005986 and Notch1mRNA were targets of miR-129-5p, and that hsa_circ_0005986 downregulation liberated miR-129-5p and decreased the expression level of Notch1mRNA. More importantly, hsa_circ_0005986 downregulation accelerated cell proliferation by promoting the G0/G1 to S phase transition."	2017/7/1	28410211	
hsa_circ_0058106	chr2:216246934-216248907	-	FN1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0058106	Hypopharyngeal squamous cell carcinoma	Upregulated	qPCR etc.	Human	"The expression levels of hsa_circ_0058106, hsa_circ_0058107, and hsa_circ_0024108 were significantly higher in tumor tissues than in corresponding normal tissues"	2017/7/1	28514762	
hsa_circ_0058107	chr2:216246934-216256537	-	FN1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0058107	Hypopharyngeal squamous cell carcinoma	Upregulated	qPCR etc.	Human	"The expression levels of hsa_circ_0058106, hsa_circ_0058107, and hsa_circ_0024108 were significantly higher in tumor tissues than in corresponding normal tissues"	2017/7/1	28514762	
hsa_circ_0024108	chr11:102660640-102667893	-	MMP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0024108	Hypopharyngeal squamous cell carcinoma	Upregulated	qPCR etc.	Human	"The expression levels of hsa_circ_0058106, hsa_circ_0058107, and hsa_circ_0024108 were significantly higher in tumor tissues than in corresponding normal tissues"	2017/7/1	28514762	
hsa_circ_0036722	chr15:90019985-90030216	-	RHCG	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0036722	Hypopharyngeal squamous cell carcinoma	Downregulated	qPCR etc.	Human	"hsa_circ_0036722, hsa_circ_0002260, and hsa_circ_0001189 expression levels were significantly decreased in tumor tissues compared with normal controls"	2017/7/1	28514762	
hsa_circ_0002260	chr5:78936673-78964851	+	PAPD4	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002260	Hypopharyngeal squamous cell carcinoma	Downregulated	qPCR etc.	Human	"hsa_circ_0036722, hsa_circ_0002260, and hsa_circ_0001189 expression levels were significantly decreased in tumor tissues compared with normal controls"	2017/7/1	28514762	
hsa_circ_0001189	chr21:37711076-37717005	+	MORC3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001189	Hypopharyngeal squamous cell carcinoma	Downregulated	qPCR etc.	Human	"hsa_circ_0036722, hsa_circ_0002260, and hsa_circ_0001189 expression levels were significantly decreased in tumor tissues compared with normal controls"	2017/7/1	28514762	
Cir-ITCH/hsa_circ_0001141/hsa_circ_001763	chr20:33001547-33037285	+	ITCH	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001141	Hepatocellular carcinoma	Downregulated	qPCR etc.	Human	"The expression level of circ-ITCH was significantly lower in HCC tissues, compared with that in adjacent tissues"	2017/7/1	28636993	
hsa_circ_0013958	chr1:147131074-147131890	-	ACP6	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0013958	Lung adenocarcinoma	Upregulated	"qPCR, Flow cytometry analysis, Western blot, Luciferase reporter assay, RNA-FISH etc."	Human	"hsa_circ_0013958 promoted cell proliferation and invasion and inhibited cell apoptosis in LAC. hsa_circ_0013958 was identified as a sponge of miR-134, and thus it up-regulated oncogenic cyclin D1, which plays a pivotal role in the development of non-small cell lung cancer"	2017/7/1	28685964	
hsa_circ_103110/hsa_circ_0004771	chr21:16386664-16415895	-	NRIP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0004771	Breast cancer	Upregulated	qPCR etc.	Human	"hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements."	2017/7/1	28484086	
hsa_circ_104689/hsa_circ_0001824	chr8:131164981-131181313	-	ASAP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001824	Breast cancer	Upregulated	qPCR etc.	Human	"hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements."	2017/7/1	28484086	
hsa_circ_104821/hsa_circ_0001875	chr9:96233422-96261168	+	FAM120A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001875	Breast cancer	Upregulated	qPCR etc.	Human	"hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements."	2017/7/1	28484086	
hsa_circ_006054/hsa_circ_0006054	chr19:34818325-34821252	+	KIAA0355	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0006054	Breast cancer	Downregulated	qPCR etc.	Human	"hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements."	2017/7/1	28484086	
hsa_circ_100219/hsa_circ_0004619	chr1:51121113-51210447	-	FAF1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0004619	Breast cancer	Downregulated	qPCR etc.	Human	"hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements."	2017/7/1	28484086	
hsa_circ_406697	N/A	N/A	N/A	N/A	Breast cancer	Downregulated	qPCR etc.	Human	"hsa_circ_103110, hsa_circ_104689 and hsa_circ_104821 levels were elevated in breast cancer tissues, whereas hsa_circ_006054, hsa_circ_100219 and hsa_circ_406697 were downregulated. These circRNAs targeted complementary miRNA response elements."	2017/7/1	28484086	
circABCB10/hsa_circ_0008717	chr1:229665945-229678118	-	ABCB10	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0008717	Breast cancer	Upregulated	"qPCR, Luciferase reporter assay, CCK-8 proliferation assay,Flow cytometry etc."	Human	"Results identified a new functional circ-ABCB10 in breast cancer tumorigenesis, and reveal the important regulatory role of circ-ABCB10 through sponging miR-1271"	2017/7/1	28744405	
hsa_circ_0008945	chr14:51208299-51211083	-	NIN	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0008945	Breast cancer	Upregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0000732	chr17:1540002-1540356	-	SCARF1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000732	Breast cancer	Upregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0000098	chr1:101372407-101387397	+	SLC30A7	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000098	Breast cancer	Upregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0001721	chr7:90355880-90356126	+	CDK14	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001721	Breast cancer	Upregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0000911	chr19:17448965-17449496	-	GTPBP3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000911	Breast cancer	Downregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0018293	chr10:47164293-47166311	-	N/A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0018293	Breast cancer	Downregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0001283	chr3:39108038-39130809	+	WDR48	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001283	Breast cancer	Downregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0000893	chr19:12790270-12791139	-	DHPS	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000893	Breast cancer	Downregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circ_0000981	chr2:20240809-20240905	-	LAPTM4A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000981	Breast cancer	Downregulated	qPCR etc.	Human	Unclear	2017/7/1	28744405	
hsa_circRNA_100338/circSNX27	N/A	N/A	SNX27	N/A	Hepatocellular carcinoma	Upregulated	"qPCR, In vitro invasion assay, Luciferase activity assay etc."	Human	"High expression of circRNA_100338, one of the upregulated circRNAs in HCC, is closely correlated with a low cumulative survival rate and metastatic progression in HCC patients with hepatitis B. Furthermore, our in silico and experimental analyses identified miR-141-3p as a direct target of circRNA_100338. Thus, circRNA_100338 functions as an endogenous sponge for miR-141-3p in HCC. In addition, we identified the crucial antagonistic roles of circRNA_100338 and miR-141-3p in the regulation of invasive potential in liver cancer cells. "	2017/7/1	28710406	
hsa_circRNA_104075	N/A	N/A	NUP153	N/A	Hepatocellular carcinoma	Upregulated	qPCR etc.	Human	Uclear	2017/7/1	28710406	
hsa_circRNA 102049	N/A	N/A	TADA2A	N/A	Hepatocellular carcinoma	Downregulated	qPCR etc.	Human	Uclear	2017/7/1	28710406	
cANRIL	N/A	N/A	ANRIL	N/A	Atherosclerosis	Upregulated	"qPCR, Immunohistochemistry, Enzyme-linked immunosorbent assay etc."	Rat	Evidence that reduced cANRIL expression could prevent coronary AS by reducing vascular EC apoptosis and inflammatory factor expression.	2017/7/1	28683453	
hsa_circRNA_100782/circHIPK3/hsa_circ_0000284	chr11:33307958-33309057	+	HIPK3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000284	Non-small cell lung cancer	Upregulated/Downregulated	"qPCR, CCK-8 assay, Colony formation assay, Western blot  etc."	Human	CircHIPK3 could promote cell proliferation by a circHIPK3/miR-379 pathway in NCI-H1299 and NCI-H2170 cells and might be a potential tumor biomarker for NSCLC	2017/7/1	28738961	
circRNA_000839	N/A	N/A	N/A	N/A	Hepatocellular carcinoma	Upregulated	"qPCR, Immunofluorescence staining, Western blot, Luciferase assay etc."	Human	miR-200b could mediate RhoA gene and circ_000839 to form endogenous competition	2017/7/1	28695771	
hsa_circRNA_101238/hsa_circ_0004372	chr13:28748408-28752072	+	PAN3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0004372	Thoracic aortic dissection	Upregulated	qPCR etc.	Human	"The luciferase reporter was constructed to determine whether hsa_circRNA_101238 can directly target the hsa-miR-320a. The luciferase signal of hsa-miR-320a was suppressed by the wild-type hsa_circRNA_101238, whereas the luciferase signal of hsa-miR-320a was not affected by the mutant hsa_circRNA_101238. Quantitative real-time PCR and Western blot manifested the low expression of hsa-miR-320a and high of MMP9 in human TAD tissues, respectively."	2017/7/1	29137225	
hsa_circRNA_104634/hsa_circ_0084615	chr8:62593526-62596747	-	ASPH	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0084615	Thoracic aortic dissection	Upregulated	qPCR etc.	Human	"The upregulated hsa_circRNA_104634 and hsa_circRNA_104349 interacted with hsa-miR-145-3p and hsa-miR-26a-3p, respectively that have been demonstrated to increase SMC phenotype or apoptosis"	2017/7/1	29137225	
hsa_circRNA_002271/hsa_circ_0002271	chr2:20974569-20990158	-	C2orf43	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002271	Thoracic aortic dissection	Upregulated	qPCR etc.	Human	Upregulated significantly in human TAD as compared to NA	2017/7/1	29137225	
hsa_circRNA_102771/hsa_circ_0055377	chr2:80772106-80783018	+	CTNNA2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0055377	Thoracic aortic dissection	Upregulated	qPCR etc.	Human	Upregulated significantly in human TAD as compared to NA	2017/7/1	29137225	
hsa_circRNA_104349/hsa_circ_0079929	chr7:40027197-40027857	+	CDK13	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0079929	Thoracic aortic dissection	Upregulated	qPCR etc.	Human	"The upregulated hsa_circRNA_104634 and hsa_circRNA_104349 interacted with hsa-miR-145-3p and hsa-miR-26a-3p, respectively that have been demonstrated to increase SMC phenotype or apoptosis"	2017/7/1	29137225	
hsa_circRNA_102683/hsa_circ_0007386	chr2:36668400-36669878	+	CRIM1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0007386	Thoracic aortic dissection	Downregulated	qPCR etc.	Human	"The downregulated hsa_circRNA_102683 and hsa_circRNA_104033 inhibited hsa-miR-29b-1-5p and hsa-miR-195-3p, respectively, which has been shown to target the aortic wall apoptosis and ECM degradation or stimulation of the collagen remodeling"	2017/7/1	29137225	
hsa_circRNA_005525/hsa_circ_0005525	chr18:55398858-55399064	-	ATP8B1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005525	Thoracic aortic dissection	Downregulated	qPCR etc.	Human	Downregulated significantly in human TAD as compared to NA	2017/7/1	29137225	
hsa_circRNA_103458/hsa_circ_0067175	chr3:127393233-127393443	+	ABTB1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0067175	Thoracic aortic dissection	Downregulated	qPCR etc.	Human	Downregulated significantly in human TAD as compared to NA	2017/7/1	29137225	
CDR1as/ciRS-7/hsa_circ_0001946	chrX:139865339-139866824	+	CDR1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001946	Colorectal cancer	Upregulated	"qPCR, Colony formation assay, Xenograft animal studies, IHC, Western blot etc."	Human	CiRS-7 is a promising prognostic biomarker in colorectal cancer patients and may serve as a therapeutic target for reducing EGFR-RAF1 activity in colorectal cancer patients.	2017/7/1	28174233	
rno_circRNA_013779	chr6:134274855-134287009	-	Smek1	N/A	Neuropathic pain	Upregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
rno_circRNA_008646	chr2:207792107-207792537	+	Ash1l	N/A	Neuropathic pain	Upregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
rno_circRNA_35215	N/A	N/A	N/A	N/A	Neuropathic pain	Upregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
rno_circRNA_008973	chr2:260672526-260701479	+	Ppp3ca	N/A	Neuropathic pain	Upregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
rno_circRNA_011111	chr3:87830789-87846455	+	Phf21a	N/A	Neuropathic pain	Downregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
rno_circRNA_007419	chr18:60520545-60537491	+	Zfp532	N/A	Neuropathic pain	Downregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
rno_circRNA_007512	chr18:70189468-70222968	+	Dym	N/A	Neuropathic pain	Downregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
rno_circRNA_010913	chr3:61125639-61182055	-	Stk39	N/A	Neuropathic pain	Downregulated	qPCR etc.	Rat	"Expression levels of eight circRNAs were verified using qPCR. GO analysis revealed that thousands of predicted target genes were involved in the biological processes, cellular component, and molecular function; in addition, dozens of these genes were enriched in the Hippo signaling pathway, MAPK signaling pathway, and so on."	2017/7/1	28761373	
Circ-104916	N/A	N/A	NEK6	N/A	Gastric cancer	Downregulated	"qPCR, Western blot, In vitro cell migration and invasion assay etc."	Human	"A lower expression of circ-104916 appeared in deeper invasion depth, higher tumor stage and more frequent lymphatic metastasis patients. Overexpression of circ-104916 effectively inhibited the proliferation, migration and invasion abilities of GC cells in vitro. Western blot showed that circ-104916 overexpression upregulated E-cadherin and downregulated N-cadherin, Vimentin and Slug, indicating that circ-104916 was involved in the epithelial-mesenchymal transition process."	2017/7/1	28761361	
cir-GLI2/hsa_circ_0056288	chr2:121708818-121713006	+	GLI2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0056288	Osteosarcoma	Upregulated	"qPCR, Luciferase reporter gene assay, Colony formation assay, Flow cytometry, Transwell assay etc."	Human	"cir-GLI2 silencing could effectively suppress the proliferation, migration, and invasion capacity of osteosarcoma cells, indicating the tumor-promoting role. Besides, bioinformatics analysis and luciferase reporter assay predicted the direct binding to miR-125b-5p, which has been reported to function as a tumor suppressor in osteosarcoma. Furthermore, functional experiments validated that cir-GLI2 exerted the tumor-promoting effects on osteosarcoma cells via negatively targeting miR-125b-5p."	2017/7/1	28695772	
cZNF609/hsa_circ_0000615	chr15:64791491-64792365	+	ZNF609	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000615	Diabetic retinopathy	Upregulated	qPCR etc.	Human	cZNF609 expression in the fibrovascular membranes of diabetic patients was significantly higher than that in the idiopathic epiretinal membranes of non-diabetic patients	2017/7/1	28824721	
cZNF609/hsa_circ_0000615	chr15:64791491-64792365	+	ZNF609	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000615	Hypertension	Downregulated	qPCR etc.	Human	circulating levels of cZNF609 were down-regulated in the patients with coronary artery disease (CAD) or hypertension compared with healthy volunteers	2017/7/1	28824721	
cZNF609/hsa_circ_0000615	chr15:64791491-64792365	+	ZNF609	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000615	Coronary artery disease	Downregulated	qPCR etc.	Human	circulating levels of cZNF609 were down-regulated in the patients with coronary artery disease (CAD) or hypertension compared with healthy volunteers	2017/7/1	28824721	
circUBAP2	N/A	N/A	UBAP2	N/A	Osteosarcoma	Upregulated	qPCR etc.	Human	"circUBAP2 was found to inhibit the expression of microRNA-143 (miR-143), thus enhancing the expression and function of anti-apoptotic Bcl-2, which is a direct target of miR-143"	2017/6/1	28977896	
